id;nome;email;senha;tipo
1;whereas whoa elaborate;Joao.Moreira@hotmail.com;cauliflower pish skeletal;USUARIO
2;enraged;Lucas.Macedo73@live.com;malice;USUARIO
3;sore lined;Sara96@hotmail.com;flowery astride duh;ADMINISTRADOR
4;timely impure liberate;Feliciano28@yahoo.com;hold any er;USUARIO
5;joshingly;Victor5@yahoo.com;bump toot to;USUARIO
6;shipping nutritious now;Talita52@hotmail.com;whoa incidentally bog;ADMINISTRADOR
7;line;Talita_Moreira19@yahoo.com;valiantly meh plate;ADMINISTRADOR
8;angry adjudge consequently;Suelen9@hotmail.com;campaigning carpet;USUARIO
9;triangular;Alicia.Saraiva@hotmail.com;yippee blah apropos;ADMINISTRADOR
10;barring;Alessandra_Macedo51@hotmail.com;tame hm;USUARIO
